timeline,game_id,team,inning,score
13,1,0,2,0
13,1,1,2,0
13,1,0,3,0
13,1,1,3,1
13,1,0,4,0
13,1,1,4,2
13,1,0,5,0
13,1,1,5,0
13,1,0,6,0
13,1,1,6,0
13,1,0,7,2
13,1,1,7,0
13,1,0,8,0
13,1,1,8,2
13,1,0,9,0
13,1,1,9,0
14,1,0,1,1
14,1,1,1,2
14,1,0,2,0
14,1,1,2,0
14,1,0,3,0
14,1,1,3,0
14,1,0,4,1
14,1,1,4,1
14,1,0,5,0
14,1,1,5,2
14,1,0,6,0
14,1,1,6,0
14,1,0,7,0
14,1,1,7,0
14,1,0,8,0
14,1,1,8,0
14,1,0,9,2
14,1,1,9,0
15,1,0,1,2
15,1,1,1,0
15,1,0,2,0
15,1,1,2,0
15,1,0,3,1
15,1,1,3,0
15,1,0,4,0
15,1,1,4,2
15,1,0,5,0
15,1,1,5,0
15,1,0,6,0
15,1,1,6,0
15,1,0,7,0
15,1,1,7,0
15,1,0,8,0
15,1,1,8,2
15,1,0,9,0
15,1,1,9,0
16,1,0,1,0
16,1,1,1,0
16,1,0,2,0
16,1,1,2,0
16,1,0,3,0
16,1,1,3,0
16,1,0,4,0
16,1,1,4,0
16,1,0,5,1
16,1,1,5,4
16,1,0,6,0
16,1,1,6,0
16,1,0,7,0
16,1,1,7,0
16,1,0,8,0
16,1,1,8,0
16,1,0,9,2
16,1,1,9,0
17,1,0,1,0
17,1,1,1,0
17,1,0,2,0
17,1,1,2,0
17,1,0,3,0
17,1,1,3,0
17,1,0,4,0
17,1,1,4,0
17,1,0,5,0
17,1,1,5,0
17,1,0,6,0
17,1,1,6,0
17,1,0,7,0
17,1,1,7,6
17,1,0,8,4
17,1,1,8,0
17,1,0,9,2
17,1,1,9,0
17,1,0,10,1
17,1,1,10,0
18,1,0,1,0
18,1,1,1,4
18,1,0,2,0
18,1,1,2,0
18,1,0,3,0
18,1,1,3,1
18,1,0,4,3
18,1,1,4,0
18,1,0,5,0
18,1,1,5,0
18,1,0,6,0
18,1,1,6,0
18,1,0,7,0
18,1,1,7,0
18,1,0,8,0
18,1,1,8,0
18,1,0,9,3
18,1,1,9,0
19,1,0,1,0
19,1,1,1,1
19,1,0,2,1
19,1,1,2,1
19,1,0,3,0
19,1,1,3,1
19,1,0,4,0
19,1,1,4,0
19,1,0,5,0
19,1,1,5,0
19,1,0,6,1
19,1,1,6,0
19,1,0,7,1
19,1,1,7,0
19,1,0,8,0
19,1,1,8,1
19,1,0,9,0
19,1,1,9,0
20,1,0,1,2
20,1,1,1,0
20,1,0,2,0
20,1,1,2,3
20,1,0,3,0
20,1,1,3,0
20,1,0,4,0
20,1,1,4,0
20,1,0,5,0
20,1,1,5,0
20,1,0,6,0
20,1,1,6,0
20,1,0,7,2
20,1,1,7,0
20,1,0,8,0
20,1,1,8,0
20,1,0,9,0
20,1,1,9,0
21,1,0,1,0
21,1,1,1,0
21,1,0,2,0
21,1,1,2,0
21,1,0,3,0
21,1,1,3,0
21,1,0,4,1
21,1,1,4,0
21,1,0,5,0
21,1,1,5,0
21,1,0,6,0
21,1,1,6,1
21,1,0,7,0
21,1,1,7,0
21,1,0,8,0
