timeline,player_id,game_id,opponent_player_id,team_id,sac,balls,strikes,result,base1,base2,base3,Close,pinch,inning,run_diff,outs,sb,cs,rbi,r,spot,hit_loc,hit_xy,exit_velo,launch_angle
3,38,1,10,2,0,0,0,4,0,1,0,1,0,4,0,2,0,0,0,0,9,38,228,138,4
3,44,1,10,2,0,0,0,4,1,0,0,1,0,2,0,0,0,0,0,0,6,20,138,141,5
3,44,1,10,2,0,2,2,1,0,0,0,1,0,4,0,0,0,0,0,0,6,86,255,0,0
3,44,1,10,2,0,0,0,5,1,0,0,1,0,6,0,1,0,0,0,0,6,17,86,111,43
3,44,1,3,2,0,0,0,4,0,0,0,1,0,9,-1,0,0,0,0,0,6,24,44,166,1
3,47,1,10,2,0,3,1,2,0,0,0,1,0,2,0,0,0,0,0,0,5,255,255,0,0
3,47,1,10,2,0,0,1,4,0,0,0,1,0,3,0,2,0,0,0,0,5,22,254,167,1
3,47,1,10,2,0,0,0,6,0,0,0,1,0,6,0,1,0,0,0,0,5,14,114,153,8
3,47,1,10,2,0,1,1,5,0,0,0,1,0,8,-1,2,0,0,0,0,5,55,3,135,45
3,49,1,10,2,0,2,2,4,0,0,0,1,0,1,0,2,0,0,0,0,3,40,171,154,3
3,49,1,10,2,0,2,0,4,0,1,0,1,0,3,-1,0,0,0,0,0,3,31,88,101,4
3,49,1,10,2,0,0,0,5,0,0,0,1,0,5,0,2,0,0,0,0,3,48,253,166,20
3,49,1,10,2,0,1,0,5,0,0,0,1,0,8,-1,0,0,0,0,0,3,36,241,122,60
3,50,1,10,2,0,1,0,4,0,0,0,1,0,2,0,2,0,0,0,1,7,38,11,137,2
3,50,1,10,2,0,2,2,7,0,0,0,1,0,4,0,1,0,0,0,0,7,49,63,176,17
3,50,1,10,2,0,1,1,4,1,0,0,1,0,6,0,2,0,0,0,0,7,0,156,111,1
3,50,1,3,2,0,0,0,4,0,0,0,1,0,9,-1,1,0,0,0,0,7,26,79,102,4
4,1,1,38,1,0,2,1,6,1,0,0,1,0,1,0,2,0,0,0,0,4,16,55,154,19
4,1,1,38,1,0,3,2,4,0,1,0,1,0,3,-1,1,0,0,0,0,4,29,242,144,5
4,1,1,38,1,0,1,2,4,1,1,0,1,0,5,-1,2,0,0,0,0,4,38,114,133,0
4,1,1,38,1,0,2,0,5,1,1,1,1,0,7,0,2,0,0,0,0,4,58,85,151,45
4,1,1,33,1,0,3,2,5,0,0,0,1,0,10,0,0,0,0,0,0,4,76,237,139,44
4,1,1,28,1,0,1,0,4,1,0,0,1,0,12,0,2,0,0,0,0,4,29,248,157,4
4,1,1,48,1,0,0,0,2,0,1,0,1,0,15,0,1,0,0,0,0,4,255,255,0,0
4,6,1,38,1,0,0,0,5,1,0,0,1,0,2,0,1,0,0,0,0,8,65,19,149,44
4,6,1,38,1,0,0,2,4,0,0,0,1,0,4,-1,2,0,0,0,0,8,22,202,136,4
4,6,1,38,1,0,1,0,6,0,0,0,1,0,7,0,0,1,0,0,0,8,45,246,166,17
4,6,1,33,1,0,3,2,1,1,0,0,1,0,8,0,2,0,0,0,0,8,255,255,0,0
4,6,1,28,1,0,3,2,4,0,0,0,1,0,11,0,1,0,0,0,0,8,25,142,161,4
4,6,1,48,1,0,2,2,1,0,0,0,1,0,14,0,0,0,0,0,0,8,86,255,0,0
4,8,1,33,1,0,1,2,1,0,0,0,1,0,9,0,0,0,0,0,0,9,86,255,0,0
4,8,1,28,1,0,2,2,1,0,0,0,1,0,11,0,2,0,0,0,0,9,86,255,0,0
4,8,1,48,1,0,1,1,4,0,0,0,1,0,14,0,1,0,0,0,0,9,87,198,105,1
4,10,1,38,1,0,1,1,4,1,0,0,1,0,2,0,2,0,0,0,0,9,15,53,122,1
4,10,1,38,1,0,1,2,1,0,0,0,1,0,5,-1,0,0,0,0,0,9,255,255,0,0
4,10,1,38,1,1,1,1,4,0,1,0,1,0,7,0,0,0,0,0,0,9,87,152,70,3
4,11,1,28,1,0,1,1,4,0,0,0,1,1,11,0,0,0,0,0,0,7,41,138,162,3
4,13,1,48,1,0,0,0,5,0,0,0,1,1,13,0,2,0,0,0,0,7,17,154,92,46
4,15,1,38,1,0,0,1,4,0,0,0,1,0,2,0,1,0,0,0,0,7,38,179,172,2
4,15,1,38,1,0,0,2,5,0,0,0,1,0,4,-1,1,0,0,0,0,7,49,22,158,42
4,15,1,38,1,0,2,1,4,0,0,0,1,0,6,-1,2,0,0,0,0,7,40,242,141,7
4,15,1,33,1,0,0,0,5,1,0,0,1,0,8,0,1,0,0,0,0,7,21,254,133,79
4,16,1,38,1,0,1,2,1,1,0,1,1,0,1,0,2,0,0,0,0,5,86,255,0,0
4,16,1,38,1,0,1,2,5,0,1,0,1,0,3,-1,2,0,0,0,0,5,55,177,138,44
4,16,1,38,1,0,1,1,5,0,0,0,1,0,6,-1,0,0,0,0,0,5,69,93,148,24
4,16,1,33,1,0,1,2,1,0,0,0,1,0,8,0,0,0,0,0,0,5,255,255,0,0
4,16,1,33,1,0,0,0,5,0,0,0,1,0,10,0,1,0,0,0,0,5,63,178,146,41
